id,question,answer
608,What  Is  A  Medicare  Replacement?,Original Medicare has been in existence since 1965 when Lyndon Johnson signed the bill making it law. Original Medicare had Part A (hospital) and Part B (doctor and outpatient). Almost immediately a few carriers saw an opportunity to market supplemental coverage to pick up the gaps left by Medicare. Medicare Part C (later called Medicare Advantage) began in 1997. These private insurance plans gave seniors an option for a managed care private plan vs original Medicare.
609,How  Much  Is  Life  Insurance  For  My  Parents?,"Determining the price of life insurance for your parents depends on their age, health, and what type and amount of life insurance you are looking for. Most of the people who contact us for life insurance for their parents are looking for small final expense policies. This type of policy can usually be obtained with no exam and is Whole Life so that it will not end before death occurs. We also sell level premiums, meaning that the policy will not go up in price. Otherwise, there is a risk that the policy will become too expensive to hang onto until death occurs. For this type of policy, the price is approx $100/mo for a 60 year old man buying a $15,000 Whole Life policy that will not go up in price for the rest of his life. If there is a serious health condition, this price can be much higher, and rates will be substantially higher if the applicant is much older. Of course prices are lower if your parent is younger, and there are scores of other factors to consider. An agency that specializes in Senior Life Insurance can be helpful to find your parents life insurance that does what you want it to at the best possible price."
610,Who  Sells  Term  Life  Insurance?,"Term life insurance is sold by agents who work alone from home or in a small office, agencies that employ several to many agents, online agents and agencies, mailers, and some life insurance companies that sell it direct to the consumer online. You can buy Term Life Insurance in many places. The key is to make sure you are medically qualified and getting the best price. To do that, it is best to go through an agent."
611,Who  Can  Purchase  Life  Insurance?,"Anyone who can prove insurable interest between the insured and the beneficiaries as well as justify the amount of coverage may apply for life insurance coverage. The second condition is your health condition. Life insurance is a mortality product. Your premium will be a function of your health, the healthier the insured, the lower the premium."
612,"My  Agent  Told  Me  I  Was  Covered  For  Prenatal  Care,  But  Now  I'M  Pregnant  And  Found  Out  I'm  Not  Covered  For  Anything  Maternity  Related.  What  Do  I  Do?","If you were missled by your insurance ""professional"" then you can recieve financial indemnification. It does not matter if the information that you were provided was provided in good faith, or if you were intentionally misled. Generally all Life/Health Agents/Brokers must have at least $1,000,000 (per incedent) in Errors and Omissions Coverage to protect them from this type of situation. The best way for you to proceed would be to contact your State's Department of Insurance, there should be a toll free number on their website and an option that will direct you to consumer protection and assistance."
613,Who  Sells  The  Cheapest  Auto  Insurance?,"There are many carriers out there all can be quite ""Cheap"" But be careful when shopping for rates cheap doesn't always mean you have the proper coverage. Also depends on what type of coverage you are looking for. When shopping online there are times that the rate is fantastic then you find out that they are not even allowed to sell insurance in your state. you also have to think about in the event of a claim can they be reached and you talk to someone local? Buyer beware make you are covered properly like the old saying goes if it is to good to be true then most likely that is the case. However I do have some carries that I have a client in that has full coverage on a car and only $143 for 6 months of coverage with low deductible now that is cheap but her coverage is not. So the key is making sure you know what you are purchasing before you put the money out. A Local agent or the States insurance commissioners office can assist you in finding what you are looking for"
614,What  License  Do  I  Need  To  Sell  Disability  Insurance?,"The license needed for disability is a health insurance license. However, something just to consider, go ahead and get both your life and health insurance license. You will find that most clients in need of disability also will need life insurance and vice versa. Also, some states will not grant you reciprocity unless you have both your life and health license. You may wish to cross license in other states as you grow your practice and this will become an issue. It really doesn't cost much more or take too much more of your time to carry both license together. Good luck!"
615,Can  I  Get  Health  Insurance  If  Unemployed?,"Your employment status does not effect your eligibility for individual health insurance coverage. The important question is how long have you been unemployed? With the closing of the 2015 open enrollment period on February 15th an individual has to experience a ""change of life status event"" in order to enroll for coverage before next year's open enrollment period. Loss of group health insurance coverage from a previous job is a change of life status event. You have 60-days after a change of life status event to enroll in individual coverage. You should have the option of enrolling directly with a major medical insurance carrier in your state or through the government health insurance marketplace. It should be noted that if you have recently lost employer based health insurance you should have the ability to continue your coverage through your former employer's group health plan for some period of time. This will vary depending upon your state of residence and the size of your employer. If you worked for a company with 20+ employees they are subject to the Federal COBRA continuation guidelines and you could continue your coverage through them for up to 18-months as long as you pay the entire monthly premium in a timely manner. You have 63-days after termination of employment to exercise your COBRA continuation privilege. If you worked for a company with less than 20 employees then state continuation rules would apply and these do vary from state to state."
616,Can  I  Add  My  Elderly  Parent  To  My  Health  Insurance?,"No. The only people who can be added to your health insurance is your spouse and your children (if you're a legal guardian of another child, then they can be added as well). Your parents would have to be under their own coverage. For senior citizens, they have Medicare available to them if they're not on it already. If they have original Medicare (both Medicare Part A & Medicare Part B), you may want to consider adding a Medicare supplement plan (a.k.a. Medigap plan) to cover the gaps in your original Medicare coverage. Original Medicare only covers about 80% of healthcare expenses - you can have all or a portion of the other 20% covered under a Medigap plan. I hope the information is helpful - please feel free to contact me for help and if you have any other questions. Thanks very much."
617,What  Is  Wrong  With  Whole  Life  Insurance?,"Assuming this question originates from a negative assertion that (participating) whole life insurance is inherently wrong, there is no wrong on a financial basis as a product. It may very well be unsuitable or not economical depending upon the personal profile of the potential purchaser and their financial goals. The annual premium for guaranteed universal life insurance is generally cheaper than whole life insurance, so the difference in premium could be argued as economical. But participating whole life insurance thats designed for tax advantaged supplemental retirement income can be very valuable to a long term conservative saver who seeks returns that can compete with treasuries as an example."
618,Can  You  Cash  In  Your  Life  Insurance?,"Yes, someone can cash in their life insurance if there is cash value in the policy. If it is early in the years of a cash value policy (Whole Life or Universal Life), surrender charges will be subtracted from the cash value. There are other options for many policies that you may want to explore. E.g. you could possibly make your policy into a reduced paid up policy. You would not have the cash value to spend, but you would still have some life insurance for which you no longer have to pay a premium. Visiting with your agent can be helpful in making the decision whether or not to cash in your life insurance."
619,What  Is  A  Life  Insurance  Certificate?,"A life insurance certificate is a certificate of insurance saying that a policy was purchased, and that outlines the basic provisions of the policy. When you are enrolled in a group policy, you may be given a life insurance certificate. You may need to order a certificate of insurance to prove to a lender or other entity that you have that coverage. For your own individual life insurance, having a copy of the policy is sufficient and preferable."
620,What  Is  Renters  Insurance  Loss  Of  Use?,"Loss of Use for both Renters and Homeowners Insurance pays for any additional expenses incurred if you are forced to leave your home or apartment while repairs are being made. For example, you have to pay additional housing costs because of staying in a motel, you have to eat out more because you have no place to cook your food, you have to store your salvagable furniture in a storage facility. These type of things would be included under Loss of Use."
621,Does  Auto  Insurance  Cover  Hitting  Deer?,"As long as you have physical damage coverage on you vehicle, the damages caused by hitting a deer should be covered (subject to your deductible.) It is normally filed under the Comprehensive (or Other Than Collision) coverage. Although you collided with a deer (or any other wild animal like pigs or hogs) it should NOT becharged against your insurance premiums."
622,Is  Medicare  Likely  To  Run  Out  Of  Money?,The short answer is no. Medicare will not run out of money. Any government program will never run dry as long as DC has the ability to print money. But since 2008 Medicare has paid out more every year than it has in the trust fund. Some projections say the trust fund will run dry by 2024 while others as soon as 2016
623,What  Are  Two  Types  Of  Disability  Insurance?,"The two main types of disability insurance are short term disability, and long term disability insurance. Short term disability insurance pays fairly quickly after a disabling illness or injury occurs, and benefits generally last no longer than two years. Long term disability insurance has a longer waiting period until it pays, usually around 90 days. Then it can last a number of years or all the way to retirement in the event of a disability that continues that long."
624,What  Is  A  Non-Qualified  Retirement  Plan?,"Non-qualified retirement plans are not sanctioned for the tax deduction like qualified plans are under ERISA. Non-qualified retirement plans generally use annuities and life insurance. Annuities can be used in qualified plans, but life insurance cannot. Non-qualified and qualified retirement plans using annuities, for an example, accumulate tax deferred, but the basis of a non-qualified annuity is distributed free of taxation, whereas qualified annuities are fully taxable including basis."
625,What  Is  The  Exclusion  Ratio  Of  Immediate  Annuities?,"The exclusion ration on immediate annuities is referring to the part of the payment that represents the tax free return of basis or the original contributions. The exclusion ration is amortized in the annuitized payments to the annuitants life expectancy. Once the basis is recovered, the payments going forward are entirely gain and taxed as ordinary income."
626,How  Much  Is  A  Premium  For  Health  Insurance?,"A premium is the amount you pay to the insurance company in exchange for coverage under a given policy. When a certain type of claim is made, the insurance company is going to pay the claim instead of you up to the defined amounts as stated inside the policy - for health insurance, the policy may only state the carrier is going to cover a percentage of the claim/fixed dollar amount and you would pay the difference (your coinsurance or copayment amount) Unfortunately there's too many factors that go into premium pricing to say what an average plan costs. Your age is a big factor - the younger you are, the cheaper your premium - the older you are, the higher your premium. Also, if you use tobacco products, your premium can be increased up to 50% as well. If you're an individual buying on or off the exchange (and not securing group coverage through an employer), you need to consider the level plan you want. There are four metal plans: bronze, silver, gold, and platinum.Bronze plans generally cover about 60% of your healthcare expenses, Silver is 70%, Gold is 80%, and Platinum is 90%. So, in short, the better the benefits that you want to have, the higher the premium will be.There's also a catastrophic plan, but these are only available to individuals under age 30. If you qualify for a subsidy, the cost of your premium can be lowered as well - whether you qualify for one depends on your income. This is where an independent insurance agent can really help you. They can work with you to look at a wide range of options from many of the top carriers in the industry."
627,Is  Cobra  Health  Insurance  Good?,"In simple terms, a COBRA health insurance is a short-term continuation of the exact same group health plan you had with your employer prior to termination from that job. So, if you liked the coverage provided by the plan prior to termination, you will still like the coverage provided by the plan under COBRA administration because it is the same plan. What you may not like is the cost under COBRA administration. Many people incorrectly assume that COBRA rates are excessively higher than the rates you paid while employed. This is incorrect. By law, your insurance rates under COBRA cannot exceed 102% of the rate you were paying before termination. So, why does the COBRA premium seem so much higher than the premium prior to termination? The answer is your employer's contribution to your health insurance. While you were employed, your employer was definitely paying a portion of yours, the employee's, health insurance premium. If you worked for a ""benefits rich"" employer, they may have been paying all your premium and even contributing some to your dependents' coverage. Under COBRA, the employer no longer is responsible to contribute anything to your health insurance premium. You are therefore responsible for 100% of your portion of the premium as well as that of your dependents. That is why the COBRA cost is more than you were seeing while employed. So, the real question then becomes is it cheaper for me to continue with my current group health plan under COBRA, or is there a better alternative in the personal health insurance marketplace. The only way to answer that question is to solicit quotes from personal health insurers."
628,Is  A  Credit  Check  Required  To  Get  Life  Insurance?,"That is a great question! In the vast majority of cases, life insurance companies will not check your credit rating. In many cases your agreements section of your policy may give them the right to check, and if the value of the policy is high enough they might, but that's pretty much the only times that I know of. Most often, it's your medical history, your prescription history, and occasionally your driving record that they will check. Thanks for asking!"
629,Why  Do  People  Get  Disability  Insurance?,People get disability insurance to protect themselves in the event they become disabled. The loss of income could be financially devastating and having disability insurance will provide a stream of monthly income that will pay bills and provide and replace lost revenue. Many full-time experienced brokers can provide the most expert advice to you.
630,Can  Health  Insurance  Companies  Tell  If  You  Smoke?,Maybe.... Let's say they can't and they just take your word for it- that you are a non smoker. Was it worth the risk when the health or life insurance company finds out that you are a smoker and refuses to pay for anything because you lied? Just be honest.
631,Can  you  get  a  Silvers  Sneakers  membership  at  the  YMCA  if  you  are  on  Medicare?,"From my understanding, you can get the membership issued through private insurance companies - so you would need to have a Medicare supplement (Medigap) plan or a Medicare Advantage plan that offers the silver sneaker membership. I don't believe original Medicare offers silver sneaker membership. So if you're only on Medicare Part A & Part B, you could add a Medigap plan that offers the membership. As to which carriers offer it, I believe it ultimately depends on what state you live in as some carriers offer it in some states and not in others. You can find out if your plan offers the membership on the silver sneakers website health plan locator. Here's a link to their page: WEBSITELINK I hope the information is helpful - please feel free to contact me for help with your coverage and if you have any other questions. Thanks very much."
632,Can  Anyone  Take  Out  A  Life  Insurance  Policy  On  Anyone?,No. There must be insurable interest as defined by economic loss at the demise of the policy insured. If no such financial liability can been established the life insurance company will deny the application. Unrelated parties with no business nor personal economic relationship cannot take out a life insurance policy on someone else.
633,When  Do  I  Need  Commercial  Auto  Insurance?,"This is just to help flesh out the above answer. The two basic thresholds for getting a commercial auto policy. 1. You have a type of legal business entity in place (e.g. Corporation, S-Corp, Partnership, LLC) and you want there to be a company car; OR 2. You are doing business as an individual and you have five or more automobiles associated with the business. While that is easy, it gets more difficult if you do not own the company, but are merely and employee or agent and you are using your personal automobile for business purposes. The business will have to add an endorsement to its Commercial Auto Policy to cover other owned vehicles, so you have coverage. However, the limits associated with liability on your companies Auto Policy might not be high enough to cover you in a serious accident. Here is where you will have to coordinate your personal auto liability coverage with your companies liability in order to make sure you are adequately covered. Hope this helps."
634,Why  Is  The  Market  For  Long  Term  Care  Insurance  So  Small?,"The market for Long Term Care Insurance really is not a small market. Thousands of people who need Long Term Care Insurance do not purchase it for one reason or another: price, denial, and lack of information all play a part. However, the market is reduced by age (most people do not have an interest in purchasing long term care insurance before age 50), health (at older ages, more people are disqualified due to health problems), income (many retired persons do not have the income to sustain payment of long term care insurance premiums), and assets (without assets to protect, there is less need for LTCI coverage)."
635,When  Did  Whole  Life  Insurance  Start?,"In the mid-1800s a form of whole life that were familiar with was developed. The first life insurance policy was sold be Amicable Society for a Perpetual Assurance Office. Term life insurance preceded whole life as we know it in various forms of annual renewal term. Permanent whole life, not necessarily participating whole life began appearing with some of the first American mutual companies like the venerable New England Life in 1835."
636,How  Do  I  Transfer  My  Insurance  To  Another  Car?,"This one's pretty simple if you have a good agent with a well trained staff. Simply call them up and tell them you're replacing a car. To make sure they have everything they need have this information: Year, make and model of new car Full 17 digit VIN When you got your new car When you got rid of your old car Talk about the coverage you want: Comp & Collision? Deductibles Anything special added to the car If it's financed or leased, they'll need to know the name, address, and loan or lease number of the finance or leasing company How you'd like to receive your certificate of insurance Also at this time, it might be a good idea to ask what the premiums will be so you can budget for it. If you haven't sold your old car yet, don't take the coverage off it. This is important. If you let someone test drive your car and they get in an accident or hurt someone, you want to be sure your covered. The premium you'll pay for that short period of time is worth it."
637,What  Does  ROP  Mean  In  Life  Insurance?,"ROP stands for Return of Premium in life insurance. It generally refers to term life insurance where you get back all the premiums you paid in if you keep the policy until the end of the term. After about half the term has passed, a portion of the premiums may be returned if the policy is dropped early. ROP policies usually cost substantially more than regular term policies. Unlike regular term, longer terms in ROP term usually cost less than the shorter terms, because the insurance company is able to hold onto the premiums longer before returning them."
638,What  Qualifies  For  Long  Term  Disability  Insurance?,Long term care insurance is a morbidity that mitigates the cost of assisted living care and/or nursing home confinement. Long term care is generally a stand alone policy with various add on riders like inflation or cost of living increases. Long term care can also take the form of a rider on life insurance and annuity products for carriers that offer them.
639,Can  You  Have  More  Than  One  Life  Insurance  Policies?,"The simple answer is yes, you can have two or even more life insurance policies in force at the same time. The main restriction on the amount of life insurance you can have is how much you are worth. When you apply for any insurance policy, they will ask what other plans you have in force. If you are asking for too much insurance combined between all of your plans (this amount varies based on the company but is often 20-25 times your annual income), they may deny your request."
640,How  To  Buy  Homeowners  Insurance  For  A  New  Home?,"Start by talking to your Insurance Professional. When you are buying a new home, there will be certain requirements that must be met in order to prepare to close on this important purchase. One of these is to be able to show proof of Homeowners coverage beginning at least on the date of the closing. Tell your insurance professional the address of the house and any particular pieces of information needed in order for him or her to complete a quality ""Reconstruction Analysis"" of the house. The results of this will become the recommended dwelling amount. You will be able to decide on the amount of Liability coverage as well as the property deductible, each of which will help to determine the final price of the coverage. Once agreed upon, the application will be produced and available for your signature. Most banks and Mortgage Companies in Connecticut will require that the first year's total premium be paid in full and then an escrow account will be set up to handle your renewal payments. You will need to provide both a copy of the policy binder or declaration sheet along with a receipt showing the full year's premium has been paid. Best of luck with your new home!"
641,How  Do  I  Get  My  Own  Health  Insurance?,"You can get your own health insurance very easily. I'll provide a short accurate answer. Under new legislation, there are Open Enrollment periods, subsidies, Special Enrollment Periods (SEP), Exchange plans, off-Exchange plans and much more. It can be very confusing to find and pick the best plan at the lowest price. So...what do you do? Work with a broker! No fees or costs..just a lot of time and money saved! LIVE answer provided by: Ed Harris - Premier health insurance broker for 33 years and owner of several top-rated healthcare websites that provide the lowest available rates."
642,Can  Long  Term  Care  Insurance  Premiums  Be  Deducted?,"Disclaimer: The following answer is not to be considered tax advice. Contact a qualified tax professional before making any financial decision. Yes, long-term care premium payments may be tax deductible. It depends on the tax status of the individual or business entity filing an IRS tax report. The IRS annually publishes the limits on the amount of premium that can be entered into the tax return and where to enter that amount for consideration of tax deductibility. For non-business consideration, that would currently be ""Medical expenses"" in Schedule A. If by adding the allowable portion of the LTCi premium to Medical expenses causes the total amount of medical expenses to exceed the threshold (formerly 7.5% of AGI, going forward 10% of AGI), then the amount beyond that threshold may be deductible. If not, then the allowable portion of the LTCi premium would not qualify for deduction. For business consideration, the portion of the premium allowable for possible tax deductibility is usually reported on Schedule C. At the present time, only a C-corporation may have 100% of the LTCi premium considered for deductibility. The allowable amounts of LTCi premium for tax deductible consideration are age-based. For insured-ages 40 and under, the published allowable amount of the LTCi premium for 2013 is $360. For those ages 71 and over, the published allowable amount of the LTCi premium for 2013 is $4550. Between that minimum and maximum are various age brackets with different allowable amounts. Those amounts will be adjusted for income-tax-year 2014 and each year thereafter, under current tax law. Tax preparers, accountants, tax attorneys, and tax-preparation software are informed and are updated for each tax year."
643,Can  Debtors  Take  Life  Insurance?,"If you mean can creditors, rather than debtors, take life insurance proceeds upon the death of the insured, they generally cannot as long as the beneficiary of the policy is a person. If the beneficiary is the estate, creditors can go after the estate for payment of past debts on the part of the insured."
644,Where  To  Get  Renters  Insurance?,"That is a great question! There are many companies that offer renters insurance. You want to look for one that has a good reputation, and the money to back it up. You can look for an independent agent (one not tied to a brand name), and often your complex managers can refer you to a company ( and often a discount!). Good luck, and thanks for asking!"
645,How  Much  Is  The  Medicare  Approved  Amount  For  Eyeglasses?,"Unfortunately, Medicare does not pay for eyeglasses. The only situation in which eyeglasses are covered by Medicare is when cataract surgery is done. Then it will pay for one standard pair of glasses following surgery. To find out what amount is allowed for that expenditure you can ask your Medicare provided or call 1-800-MEDICARE."
646,What  Does  A  Life  Insurance  Blood  Test  Look  For?,"A life insurance blood test is mainly looking for signs of illness, nicotine, or drug use. Many people are unaware that they have a health condition when they apply for life insurance. Life insurance exams periodically expose type 2 diabetes or high cholesterol, and enable the applicant to be treated before serious damage results. And, of course, there are those who try to hide drug or nicotine usage. So those three things are the main thing a life insurance exam looks for."
647,When  Can  I  Receive  Medicare  Benefits?,"You can recieve Medicare benefits when you turn 65 and meet the qualifications. Certain people under 65 qualify when they are disabled and receiving Social Security benefits for 24 months. People with End Stage Renal Disease, You can receive Medicare benefits under the age of 65 if you are diagnosed with Amyotrophic Lateral Sclerosis."
648,Can  Annuities  Be  Used  For  Collateral?,"Tax deferred annuities are considered an asset. An annuity policy owner can pledge their annuity policy as collateral. But there are some considerations. Surrendering a non-qualified annuity during the surrender period may incur terminal charges, trigger an ordinary income taxable event from policy gains and penalize the policy owner 10% if they are under age 59 ."
649,What  Is  MOOP  In  Medicare?,"MOOP in Medicare stands for Maximum Out Of Pocket costs associated with Medicare Advantage Plans. The Patient Protection and Affordable Care Act set the mandatory MOOP at $6,700 in 2013, or a voluntary MOOP of $3,400 or less in exchange for more flexibility. This does not include prescription costs and monthly premiums."
650,How  To  Purchase  Short  Term  Disability  Insurance?,"Before you start shopping for short term disability insurance, find out if your employer sponsored group plan offers it. Many of these types of plans offer short term disability insurance as part of the overall employee benefits.But if you have to shop, start online with brokerage outlets that specialize or have complete departments dedicated to disability insurance. Most of these firms have access to a wide range of carriers that can spread sheet the players in disability insurance."
651,Does  Homeowners  Insurance  Cover  Roof  Collapse  Due  To  Snow?,"Great question! The answer is most often yes, if your home has a sloped roof, and your particular policy provides for that coverage. If your roof is flat, that is probably a different story. Typically with a flat roof, the risk for ice or snow damage is greatly increased, so your policy is either much more expensive, or that damage is excluded. Call your agent to be certain in either case. Good luck! Thanks for asking!"
652,Why  Is  A  Roth  IRA  Tax  Free?,The income tax free return on a Roth IRA is an incentive to save money for retirement. It is in this context that the IRS code allows the money to be income tax free. This includes not only the money that you have placed in the contract but any earnings made on that money. This is the idea that is being pushed by the President with his My RA.
653,Who  Needs  Critical  Illness  Insurance?,"Critical illness is recommended for those who would have difficulty paying their out of pocket expenses in the event of a severe health impairment. A good major medical policy will cover most of your health care bills but there are still copay's, deductibles and coinsurance that leave you with thousands in out of pocket unpaid bills."
654,How  Does  A  Life  Insurance  Company  Know  You  Died?,Usually a company is notified of the death of a policyholder by the insured's beneficiaries. The beneficiary notifies the company and the company sends the beneficiary the necessary forms to complete. The beneficiary sends the completed form to the company along with a certified copy of the death certificate. They may also send in a newspaper death notice or obituary to get things started on the claim.
655,Where  To  Get  The  Best  Health  Insurance?,"You can secure health insurance by enrolling in the Patient Protection and Affordable Care Act (PPACA) or Obamacare. Youll need to find out if your state sponsors one of the health exchanges. Not all states do. Enrollment starts October 1, 2013. You can also go online to see the listing of local medical agents who offer health care as part of their practice."
656,How  Can  Life  Insurance  Be  So  Cheap?,Term life policies have the lowest rate because statistically insurance companies pay out death claims for only about 1% of the term life policies. Permanent policies higher cost is because of the much higher death claim percentage to the insurance company..
657,How  Much  Is  A  Car  Insurance  Deductible?,"Just to flesh out the above answer a bit more: your deductible can range from 0$ to $1000, typically. The higher your deductible is the lower your monthly premium payments will be. While lowering your monthly payments by increasing your deductible is a popular cost saving method, it"
658,What  Does  Home  Insurance  Cover  In  A  Fire?,is not always the best idea. What you really should do is sit down with your finances (or financial planner if you have one) and figure out how much discretionary income you have each month. The reason you should do this is you have to figure out how much of adeductibleyou are comfortable paying in the even of an accident. Even though it is nice to save
659,Does  Being  Unemployed  Affect  Home  Insurance?,"$20 a month, if you have a serious accident and can't afford your $750 deductible it does not make any difference. I hope this helps."
660,Why  Get  Medigap?,"A homeowners policy will cover damages caused by fire to the building, and the contents. It will also pay for debris removal. There will be coverage for additional living costs while the structure is being repaired. Other coverages might come into play such as building ordinance coverage, and fire department fee coverage. Recovery will be based on the form that was used for the homeowners policy. It will either be based on replacement cost or the actual cash value of what was damaged. The recovery will also be reduced by the deductible."
661,What  Are  M&E  Charges  On  Life  Insurance?,Your employment status is not a question on an application for homeowners insurance. The company will want to know your occupation but even unemployed is an acceptable occupation. Being unemployed may be a tragedy but it doesnt affect the insurability of the home.
662,How  Long  Does  It  Take  To  Pay  Off  Whole  Life  Insurance?,"Medigap is a Medicare supplement that can help pay some of the health care costs that original Medicare doesn't cover, like copayments, coinsurance, and deductibles. It also covers medical care for some travel outside the US. If you have an Medicare Advantage Plan, you would not want to get Medigap."
663,What  Is  A  Top  Hat  Retirement  Plan?,M & E charges for life insurance stand for Mortality and Expense charges. They are fees that cover various risks and expenses assumed by the insurer. The M & E charge is usually calculated as a percentage of the assets held by the investment funds underlying subaccounts held by the insurance company.
664,Can  A  78  Year  Old  Get  Life  Insurance?,"The obvious answer is your lifetime. The whole life policy is actually an endowment policy and does have a maturity date (100-120.) If you reach that age the company will no longer require premium payments. Permanent insurance has tremendous flexibility and if you want to quit paying at some specific age, a current policy can become paid-up for a reduced face amount."
665,Can  A  Home  Insurance  Company  Drop  You?,A Top Hat plane is a form of Non-Qualified Deferred Compensation (NQDC). These plans are not governed by the Employee Retirement Income Security Act (ERISA) and are not concerned with discrimination as defined by the Act. Employers have the option to implement the plans and offer them on employees of its choosing. The plans are generally used as incentives to keep certain employees from leaving a company by offering them an extra incentive to stick around and work for the company.
666,Does  Health  Insurance  Cover  Dental  Implants?,"The short answer is yes, there are plans available.I recommend contacting an Independent agent who specializes in insurance for seniors.Typically this agent will be able to offer the most options to suit your specific needs. It is time well spent having this conversation to determine your specific needs..."
667,What  Happens  If  I  Can't  Get  Homeowners  Insurance?,"Any Home or Auto insurance company can drop you. Home insurance is not guaranteed renewable. The company has a right to drop you or raise your premium at each renewal. This can be done because of claims experience, deterioration and maintenance of your home, or in some cases a company will pull out of an area or state completely. This happened in Florida because of the frequency of hurricanes."
668,What  Is  Boli  Life  Insurance?,Great question. Health insurance can cover dentail if your plan offers dental insurance as well. Some plans offer dental with the health insurance. Most plans do not offer dental insuarnce. Dental insurance have to be purchase separte for the health insurance. You should check with your health insurance agent for more detail.
669,How  Long  Does  A  Life  Insurance  Check  Take  To  Clear?,"Keep in mind that if one insurance company will not insure your home that does not necessarily mean that your home is uninsurable. And to take it a step farther.... just because your home does not qualify for insurance with the standard markets, this doesn't mean that it will not qualify for a home with an excess / surplus lines carrier like Lloyd's. Contacting the insurance department is a good idea as I know that PA has the ""Fair Plan"" and you can go to: WEBSITELINK for some additional info because your state might have a similar site to access. --@MooneyInsurance"
670,Where  Should  I  Buy  Health  Insurance  In  New  Mexico?,"Bank Owned Life Insurance or BOLI is a form of Key Man life insurance. It is implemented and owned by the financial institution that it protects. BOLI policies are written on the lives of employees and the beneficiary is the financial institution, which also pays the premiums. Only financial institutions such as banks, brokerage firms, mortgage lenders, credit unions etc, offer bank-owned life insurance."
671,What  Is  Renters  Insurance  Coverage?,A check is a check is a check. It will clear like any other check in 3-5 business days. If you need money before the check clears you could go to the bank for a short term loan and use the policy as collateral once the life insurance company has confirmed you as the beneficiary.
672,What  Does  Suze  Orman  Say  About  Long  Term  Care  Insurance?,"The best place to buy health insurance in New Mexico is from an experienced broker that has a reputable website. It's important that he/she represent all of the major insurers in New Mexico. The state will partner with the federal government to create the Health Exchange Marketplace. Starting in October of 2013, an Open Enrollment will allow consumers to purchase individual and family plans without answering medical questions or being denied for coverage. A federal subsidy could also reduce premiums, depending on household income. Are you one of the 21% of the population that is not currently covered? As an experienced broker, we're here to help. You'll find Exchange policies quite affordable and very comprehensive since so many benefits are now mandated."
673,How  Much  Is  Health  Insurance  For  One  Person  In  Texas?,"Renters Insurance is available from a variety of insurance companies that offer this valuable protection for tenants. It is a form of homeowners insurance for tenants; the policy contract may provide for personal property and personal liability. The coverage is inexpensive and fluctuates depending on coverage amount requested, deductible requested and geographic area. Most recently, the coverage has become most valued by those who have been accused of negligence thereby causing water damage,fire damage, smoke damage and other possible acts of negligence; in this case, the liability portion of the policy will defend the insured and pay out up to the maximum limits afforded by the policy. It is important to note that in some States where the courts have been inundated by law suits regarding tenant issues, all lease contracts are required to include an insurance clause thereby requiring the tenant to provide insurance. We do have a short cut link for those that may seek a quote or wish to buy a policy directly online: WEBSITELINK"
674,Can  I  Use  My  Car  Insurance  To  Rent  A  Car?,"""No well-planned retirement should be without long term care (LTC) insurance. It is the very cornerstone of retirement security."" - Suze Orman. Suze addresses LTC describes how to safeguard your financial future. This is one of the few areas Suze and the insurance industry agree on something."
675,How  To  Apply  For  Medicare  Part  B?,"Health insurance for one person in Texas can cost as little as $25-$40 per month (short-term plan) or much more, depending on the age of the person to be covered, their zip code and what medical conditions (if any) that they have. Shopping and comparing the major carriers will always save money. As an experienced broker, our job is to do the shopping for you. We take your information and quickly provide the companies in your area that will offer the lowest rates. It's that simple. Starting in October (2013), Open Enrollment will begin and many affordable plans will become available to Texans that have pre-existing conditions. A federal tax subsidy will be available (depending on your family income) that could potentially pay a large portion of your premium."
676,Can  I  Get  Car  Insurance  For  My  Kids?,"I think your question may be a bit different than perceived by the earlier respondent. Are you asking if you fly to another location and rent a car is that covered as a temporary vehicle or not and then if it is a temporary vehicle does your own insurance apply or do you need to buy liability coverage at the rental counter. If I understand the question correctly the answer is that it depends . You may have coverage as a temporary substitute vehicle to the extent that you have coverage on the vehicle you are substituting for. I would suggest you discuss this issue with your agent, so he can review what exactly you have coverage for. Keep in mind that auto insurance in the US is typically limited to the US and Canada not Mexico so when you travel to another country be sure to go over your itinerary with your agent. Some countries like Mexico do not recognize US insurance as being valid. If you get to the rental counter in another country and forgot to review things with your agent then do this. Buy at least the minimum liability coverage they have required of the locals."
677,When  Does  Medicare  Cover  Home  Health  Care?,You can go the Social Security website at SSA.gov/medicare/ or you can visit your local Social Security office. Keep in mind that Medicare Part A & B only covers about 80% of the cost of care and the remaining 20% that you would pay does not have a limit. A lot of people get a Medicare Supplement (Medigap) to cover what Part A & B does not. With the right plan you would have very little out of pocket expenses for care.
678,Does  Homeowners  Insurance  Cover  HVAC?,"In California the auto policy is issued to a family. If they reside at the same address and are in fact members of your household they can purchase insurance on their car, especially if you appear on the title of the car. However, their problem will become your problem in most cases"
679,What  Is  The  Penalty  For  Cashing  Out  A  401K  Early?,"To get any type of Home Health Care from Medicare requires the need for skilled care such as occupational, speech or physical therapy for a very limited amount of time generally after a hospital stay of at least 3 days not counting day of discharge. Medicare does not pay for custodial care Custodial care is assistance with bathing, cleaning the home, assistance with meals and other activities of daily living."
